State,Latitude,Longitude,Confirmed_RS,Recovered_RS,Deaths_RS
"Norfolk County, MA",42.1767,-71.1449,12,0,0
Alabama,32.3182,-86.9023,25183538,0,429069
"Alameda County, CA",37.6017,-121.7195,6,0,0
Alaska,61.3707,-152.4044,1815305,0,9964
American Samoa,-14.271,-170.132,0,0,0
Arizona,33.34835867,-111.3449483,37025746,8,872748
Arkansas,34.9697,-92.3731,13954598,0,214316
"Ashland, NE",38.2054607,-89.61729103,11,0,0
"Bennington County, VT",43.0279,-73.135,1,0,0
"Bergen County, NJ",40.9263,-74.077,16,0,0
"Berkeley, CA",37.8715,-122.273,4,0,0
"Berkshire County, MA",42.3118,-73.1822,2,0,0
"Boston, MA",42.3601,-71.0589,34,7,0
"Broward County, FL",26.1901,-80.3659,7,0,0
California,38.02644018,-120.9970722,132581078,40,2556177
"Carver County, MN",44.8254,-93.7842,1,0,0
"Charleston County, SC",32.7957,-79.7848,3,0,0
"Charlotte County, FL",26.8946,-81.9098,1,0,0
"Chatham County, NC",35.7211,-79.1781,4,0,0
"Cherokee County, GA",34.2515,-84.4803,1,0,0
Chicago,41.8781,-87.6298,62,44,0
"Clark County, NV",36.0796,-115.094,7,0,0
"Clark County, WA",45.7466,-122.5194,3,0,0
"Cobb County, GA",33.8999,-84.5641,5,0,0
"Collin County, TX",33.1795,-96.493,1,0,0
Colorado,39.0598,-105.3111,16535461,0,443756
Connecticut,41.5978,-72.7554,13583612,0,995667
"Contra Costa County, CA",37.8534,-121.9018,32,0,0
"Cook County, IL",41.7377,-87.6976,42,16,0
"Davidson County, TN",36.1343,-86.822,2,0,0
"Davis County, UT",40.9629,-112.0953,3,0,0
Delaware,39.3185,-75.5071,4039829,0,126694
"Delaware County, PA",39.9078,-75.3879,4,0,0
"Denver County, CO",39.7392,-104.9903,8,0,0
District of Columbia,38.8974,-77.0268,3059015,0,130076
"Douglas County, CO",39.2587,-104.9389,9,0,0
"Douglas County, NE",41.3148,-96.1951,6,0,0
"Douglas County, OR",43.1261,-123.2492,2,0,0
"El Paso County, CO",38.9108,-104.4723,3,0,0
"Fairfax County, VA",38.9085,-77.2405,4,0,0
"Fairfield County, CT",41.256,-73.3709,4,0,0
"Fayette County, KY",38.0606,-84.4803,4,0,0
Florida,27.7663,-81.6868,111594622,0,2178759
"Floyd County, GA",34.2829,-85.2308,3,0,0
"Fort Bend County, TX",29.5693,-95.8143,17,0,0
"Fresno County, CA",36.9859,-119.2321,2,0,0
"Fulton County, GA",33.8034,-84.3963,19,0,0
Georgia,33.0406,-83.6431,51546690,0,1168129
"Grafton County, NH",43.9088,-71.826,19,0,0
"Grant County, WA",47.1981,-119.3732,5,0,1
"Harford County, MD",39.5839,-76.3637,2,0,0
"Harris County, TX",29.7752,-95.3103,21,0,0
"Harrison County, KY",38.4333,-84.3542,2,0,0
Hawaii,21.0943,-157.4983,1683261,0,21269
"Hendricks County, IN",39.8065,-86.5401,3,0,0
"Hillsborough, FL",27.9904,-82.3018,15,0,0
"Honolulu County, HI",21.307,-157.8584,4,0,0
"Hudson County, NJ",40.7453,-74.0535,2,0,0
"Humboldt County, CA",40.745,-123.8695,18,0,0
Idaho,44.2405,-114.4788,7690538,0,80192
Illinois,39.86064913,-89.13085001,62098651,16,1839488
Indiana,39.8494,-86.2583,25310662,0,755175
Iowa,42.0115,-93.2105,17379960,0,257176
"Jackson County, OR ",42.3345,-122.7647,5,0,0
